acpi 1.8-2
pwvucontrol 0.4.9-1
py3status 3.62-1
pyenv 1:2.6.8-1
pyinstaller 6.16.0-1
python-audioop-lts 0.2.2-1
python-capng 0.8.5-3
python-hatchling 1.27.0-1
python-html2text 2025.4.15-1
python-passlib 1.7.4-10
python-pip 25.2-1
python-psycopg2 2.9.10-1
python-pycuda 2025.1.2-1
python-pynvim 0.6.0-1
python-pyxdg 0.28-4
python-tests 3.13.7-1
python-uv 0.8.22-1
qwen-code 0.0.15n1-1
ranger 1.9.4-4
rclone 1.71.1-1
rcm 1.3.6-1
rebuild-detector 4.4.5-1
redshift 1.12-14
reflector-simple 2024.8.1-1
ripcord 0.4.29-1
ripgrep-all 0.10.9-1
rofi 2.0.0-1
rofi-rbw 1.5.1-1
rtfm 0.1.0-1
rustup 1.28.2-3
s-nail 14.9.25-1
screen 5.0.1-3
scrot 1.12.1-1
sg3_utils 1.48-1
slack-desktop 4.46.99-1
smartmontools 7.5-1
sof-firmware 2025.05.1-1
soft-serve 0.10.0-1
spotify 1:1.2.63.394-1
sshfs 3.7.3-3
sshpass 1.10-2
starship 1.23.0-1
steam-native-runtime 1.0.0.75-4
strace 6.17-1
supabase 2.34.3-1
sysstat 12.7.7-1
systemctl-tui 0.4.0-1
tailscale 1.88.3-1
tealdeer 1.7.2-1
teams 1.5.00.23861-1
termdown 1.18.0-6
terminus-font 4.49.1-8
tex-gyre-fonts 2.501-3
tgpt 2.11.0-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
tig 2.6.0-1
tmate 2.4.0-5
tree 2.2.1-1
ttc-iosevka 33.3.1-1
ttc-iosevka-aile 33.3.1-1
ttc-iosevka-ss08 33.3.1-1
ttf-bitstream-charter 1.0-5
ttf-caladea 20200113-4
ttf-carlito 20230509-2
ttf-cooper-hewitt 1.1-1
ttf-courier-prime 1.203-5
ttf-dejavu-nerd 3.4.0-1
ttf-fira-mono 2:3.206-4
ttf-firacode-nerd 3.4.0-1
ttf-heuristica 1.0.2-5
ttf-inconsolata 1:3.000-4
ttf-merriweather 1:2.100-1
ttf-merriweather-sans 2.001-1
ttf-mplus-git r490.6b928fb-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-oswald 4.101-3
ttf-quintessential 1.001-6
ttf-signika 2.003-3
ttf-ubuntu-font-family 1:0.83-2
ttyc-git 20220917.v0.4.0.ttyc.g9f65fc3-1
ttyd-addon 1.1.0-1
tumbler 4.20.0-3
typescript 5.9.3-1
udftools 2.3-2
unclutter 1:1.6-4
unrar 1:7.1.10-1
usb_modeswitch 2.6.2-1
vector 0.46.0-1
vi 1:070224-6
virtualbox 7.2.2-1
visual-studio-code-bin 1.104.3-1
vivid 0.10.1-1
vlc 3.0.21-29
vlc-plugins-all 3.0.21-29
waybar 0.14.0-1
webcord 4.11.1-1
welcome 25.7-1
wget 1.25.0-2
wireguard-tools 1.0.20250521-1
wmctrl 1.07-6
wmenu 0.2.0-1
wmfocus 1.5.0-1
x11-ssh-askpass 1.2.4.1-8
xarchiver 0.5.4.25-1
xautomation 1.09-6
xbindkeys 1.8.7-5
xcalib 0.10-5
xclip 0.13-6
xdg-user-dirs-gtk 0.14-1
xdotool 3.20211022.1-2
xed 3.8.4-1
xfsprogs 6.16.0-3
xl2tpd 1.3.19-1
xorg-sessreg 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xev 1.2.6-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.6-2
